,Camion,Estacion,Hora,Valor
"y_clh[18,4,10]",18,4,10,1
"y_clh[18,4,14]",18,4,14,1
"y_clh[18,4,16]",18,4,16,1
"y_clh[18,4,19]",18,4,19,1
"y_clh[19,1,2]",19,1,2,1
"y_clh[19,1,3]",19,1,3,1
"y_clh[19,2,6]",19,2,6,1
"y_clh[19,2,23]",19,2,23,1
"y_clh[19,3,9]",19,3,9,1
"y_clh[19,3,17]",19,3,17,1
"y_clh[19,4,7]",19,4,7,1
"y_clh[20,1,13]",20,1,13,1
"y_clh[20,2,17]",20,2,17,1
"y_clh[20,4,10]",20,4,10,1
"y_clh[21,2,17]",21,2,17,1
"y_clh[21,3,13]",21,3,13,1
"y_clh[21,3,14]",21,3,14,1
"y_clh[21,4,18]",21,4,18,1
"y_clh[21,4,21]",21,4,21,1
"y_clh[22,2,23]",22,2,23,1
"y_clh[22,3,7]",22,3,7,1
"y_clh[22,4,9]",22,4,9,1
"y_clh[22,4,21]",22,4,21,1
"y_clh[23,1,7]",23,1,7,1
"y_clh[23,4,4]",23,4,4,1
"y_clh[23,4,11]",23,4,11,1
"y_clh[23,4,13]",23,4,13,1
"y_clh[23,4,23]",23,4,23,1
"y_clh[23,4,24]",23,4,24,1
"y_clh[24,1,17]",24,1,17,1
"y_clh[24,2,12]",24,2,12,1
"y_clh[24,2,13]",24,2,13,1
"y_clh[24,3,8]",24,3,8,1
"y_clh[24,3,23]",24,3,23,1
"y_clh[25,2,14]",25,2,14,1
"y_clh[25,4,17]",25,4,17,1
"y_clh[25,4,23]",25,4,23,1
"y_clh[26,1,20]",26,1,20,1
"y_clh[26,2,2]",26,2,2,1
"y_clh[26,2,3]",26,2,3,1
"y_clh[26,3,9]",26,3,9,1
"y_clh[26,4,17]",26,4,17,1
"y_clh[26,4,22]",26,4,22,1
"y_clh[27,3,11]",27,3,11,1
"y_clh[27,3,21]",27,3,21,1
"y_clh[27,4,23]",27,4,23,1
"y_clh[28,2,5]",28,2,5,1
"y_clh[28,3,15]",28,3,15,1
"y_clh[29,2,1]",29,2,1,1
"y_clh[29,3,10]",29,3,10,1
"y_clh[30,2,14]",30,2,14,1
"y_clh[30,2,21]",30,2,21,1
"y_clh[30,3,3]",30,3,3,1
"y_clh[30,4,19]",30,4,19,1
"y_clh[31,1,5]",31,1,5,1
"y_clh[32,1,16]",32,1,16,1
"y_clh[32,2,14]",32,2,14,1
"y_clh[32,4,8]",32,4,8,1
"y_clh[33,3,24]",33,3,24,1
"y_clh[33,4,14]",33,4,14,1
"y_clh[34,1,23]",34,1,23,1
"y_clh[34,2,7]",34,2,7,1
"y_clh[34,4,19]",34,4,19,1
"y_clh[35,3,3]",35,3,3,1
"y_clh[35,4,18]",35,4,18,1
"y_clh[36,1,19]",36,1,19,1
"y_clh[36,2,4]",36,2,4,1
"y_clh[36,4,3]",36,4,3,1
"y_clh[36,4,6]",36,4,6,1
"y_clh[37,1,9]",37,1,9,1
"y_clh[37,3,21]",37,3,21,1
"y_clh[37,4,18]",37,4,18,1
"y_clh[38,2,11]",38,2,11,1
"y_clh[38,3,14]",38,3,14,1
"y_clh[38,3,23]",38,3,23,1
"y_clh[38,4,3]",38,4,3,1
"y_clh[39,2,3]",39,2,3,1
"y_clh[39,2,5]",39,2,5,1
"y_clh[40,1,4]",40,1,4,1
"y_clh[40,1,12]",40,1,12,1
"y_clh[40,3,20]",40,3,20,1
"y_clh[40,4,7]",40,4,7,1
"y_clh[41,2,2]",41,2,2,1
"y_clh[41,4,1]",41,4,1,1
"y_clh[42,2,2]",42,2,2,1
"y_clh[42,2,12]",42,2,12,1
"y_clh[42,2,16]",42,2,16,1
"y_clh[43,2,8]",43,2,8,1
"y_clh[43,3,2]",43,3,2,1
"y_clh[43,4,9]",43,4,9,1
"y_clh[44,2,4]",44,2,4,1
"y_clh[44,2,21]",44,2,21,1
"y_clh[44,3,19]",44,3,19,1
"y_clh[44,4,2]",44,4,2,1
"y_clh[44,4,16]",44,4,16,1
"y_clh[45,2,15]",45,2,15,1
"y_clh[45,3,2]",45,3,2,1
"y_clh[45,4,5]",45,4,5,1
"y_clh[45,4,20]",45,4,20,1
"y_clh[46,2,17]",46,2,17,1
"y_clh[46,2,21]",46,2,21,1
"y_clh[46,3,4]",46,3,4,1
"y_clh[46,4,12]",46,4,12,1
"y_clh[47,3,6]",47,3,6,1
"y_clh[47,3,18]",47,3,18,1
"y_clh[48,2,12]",48,2,12,1
"y_clh[48,4,22]",48,4,22,1
"y_clh[49,4,2]",49,4,2,1
"y_clh[50,2,20]",50,2,20,1
"y_clh[50,3,12]",50,3,12,1
"y_clh[51,2,18]",51,2,18,1
"y_clh[51,4,11]",51,4,11,1
"y_clh[52,2,19]",52,2,19,1
"y_clh[52,4,11]",52,4,11,1
"y_clh[53,2,3]",53,2,3,1
"y_clh[53,2,9]",53,2,9,1
"y_clh[53,2,15]",53,2,15,1
"y_clh[53,4,5]",53,4,5,1
"y_clh[53,4,7]",53,4,7,1
"y_clh[53,4,13]",53,4,13,1
"y_clh[53,4,20]",53,4,20,1
"y_clh[54,2,16]",54,2,16,1
"y_clh[54,2,24]",54,2,24,1
"y_clh[54,3,22]",54,3,22,1
"y_clh[54,4,13]",54,4,13,1
"y_clh[55,2,9]",55,2,9,1
"y_clh[55,2,24]",55,2,24,1
"y_clh[55,3,6]",55,3,6,1
"y_clh[55,4,1]",55,4,1,1
"y_clh[55,4,4]",55,4,4,1
"y_clh[55,4,10]",55,4,10,1
"y_clh[56,2,1]",56,2,1,1
"y_clh[56,3,4]",56,3,4,1
"y_clh[56,4,8]",56,4,8,1
"y_clh[57,4,15]",57,4,15,1
"y_clh[58,1,15]",58,1,15,1
"y_clh[58,4,22]",58,4,22,1
"y_clh[59,2,8]",59,2,8,1
"y_clh[59,3,12]",59,3,12,1
"y_clh[59,4,21]",59,4,21,1
